symbol,date,open,high,low,close,adjusted_close,volume,sma,diff,diff/avg_diff,momentum,delta_m,CF,DDF,TSR,Class,avg_diff,diff_over_avg,delta_momentum,DF,swing,market_regime
INDUSINDBK.NSE,01-01-2020,1512.0,1538.0,1480.8,1528.85,1476.4167,7124029,,,,,,,,,,,,,,,neutral
INDUSINDBK.NSE,06-01-2020,1515.05,1521.65,1439.05,1491.25,1440.1062,16773537,,,,,,,,,,,,,,,neutral
INDUSINDBK.NSE,13-01-2020,1499.8,1585.0,1317.05,1352.25,1305.8734,53414908,,,,,,,,,,,,,,,neutral
INDUSINDBK.NSE,20-01-2020,1367.9,1367.9,1307.65,1316.1,1270.9631,22509572,,,,,,,,,,,,,,,neutral
INDUSINDBK.NSE,27-01-2020,1311.5,1312.0,1221.55,1258.85,1215.6766,29794262,,,,,,,,,,,,,,,neutral
INDUSINDBK.NSE,03-02-2020,1222.0,1346.05,1216.05,1298.8,1254.2565,28169735,,,,,,,,,,,,,,,neutral
INDUSINDBK.NSE,10-02-2020,1304.0,1309.9,1171.2,1176.0,1135.668,34410248,,,,,0.051100202,,,,,,,,,,neutral
INDUSINDBK.NSE,17-02-2020,1176.0,1209.0,1108.45,1182.2,1141.6554,51136273,,,,,-0.04133179,,,,,,,,,,neutral
INDUSINDBK.NSE,24-02-2020,1170.0,1189.5,1085.05,1104.05,1066.1856,36234891,,,,,0.032274868,,0.04133179,,,,,,,,neutral
INDUSINDBK.NSE,02-03-2020,1130.0,1136.95,913.8,1014.8,979.9965,41472332,,,1.267619005,,0.037447302,,0.04133179,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,09-03-2020,950.0,969.95,551.1,803.75,776.1847,64080350,,,4.390074363,,0.132590684,,0.0,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,16-03-2020,747.0,758.7,374.8,440.35,425.2478,168260118,,,3.776093076,,0.271134544,,0.0,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,23-03-2020,396.35,538.55,235.55,411.1,397.0009,173300744,,,3.690537222,,-0.035861906,,0.035861906,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,30-03-2020,370.0,427.7,310.2,313.2,302.4585,124811826,,,2.132245767,,0.037903413,,0.035861906,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,07-04-2020,344.5,441.4,344.5,395.4,381.8394,134744321,,,0.831254444,,-0.242413097,,0.278275003,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,13-04-2020,388.0,478.9,371.25,474.45,458.1783,109258359,,,0.043430149,,-0.294838477,,0.537251574,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,20-04-2020,479.5,481.0,380.0,382.9,369.7681,113813789,,,0.8173151,,0.046662923,,0.537251574,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,27-04-2020,394.2,491.85,387.0,468.15,452.0944,161392358,,,1.041638108,,0.09910028,,0.294838477,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,04-05-2020,444.0,477.7,408.5,440.35,425.2478,109101031,,,1.006393109,,-0.08098796,,0.08098796,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,11-05-2020,450.0,480.0,417.1,418.7,404.3403,96750493,863.575,106.25149271554815,0.814085552,0.5151550241727703,-0.041492231,,0.12248019,,Uncertain,,,,,,neutral
INDUSINDBK.NSE,18-05-2020,418.5,418.7,330.0,338.35,326.746,137413668,804.05,137.63853997340027,0.025119406,0.5791928362664013,0.169070571,,0.12248019,,Uncertain,,,0.06403781209363102,,,neutral
INDUSINDBK.NSE,26-05-2020,344.9,405.8,342.0,393.65,380.1494,134406984,749.17,90.3137304712308,0.024615129,0.4745518373666858,-0.162490182,,0.203982413,,Uncertain,,,-0.10464099889971545,,,neutral
INDUSINDBK.NSE,01-06-2020,402.3,452.25,401.05,422.35,407.8651,131788735,702.675,66.37267668994909,1.326522721,0.39893976589461694,-0.011664307,0.06403781209363102,0.174154489,,Uncertain,,,-0.07561207147206889,0.18025307037178434,,neutral
INDUSINDBK.NSE,08-06-2020,455.0,548.5,444.0,528.45,510.3263,262142887,663.2925,25.516605166051654,5.432720186,0.20329266500073492,0.226222267,0.0,0.174154489,,Uncertain,,,-0.19564710089388201,0.3759001712656663,,neutral
INDUSINDBK.NSE,15-06-2020,525.0,525.0,456.3,483.65,467.0628,203443872,624.5325,29.129018918639527,2.210251216,0.22558073438932327,-0.124871809,0.02228806938858835,0.136536116,,Continuation,,,0.02228806938858835,0.2712591723659509,,neutral
INDUSINDBK.NSE,22-06-2020,490.05,530.45,461.0,492.55,475.6575,188167082,584.22,18.61130849659933,1.292170861,0.15691006812502142,-0.01109387,0.02228806938858835,0.135965679,0.18644955508474237,Uncertain,,,-0.06867066626430185,0.2643177671581839,,neutral
INDUSINDBK.NSE,29-06-2020,482.0,508.0,472.0,487.2,470.491,96148997,549.78,12.844827586206886,0.425699288,0.11382734912146675,-0.070351615,0.02228806938858835,0.206317294,0.12797936529606302,Uncertain,,,-0.043082719003554676,0.11175338526785653,,neutral
INDUSINDBK.NSE,06-07-2020,498.0,577.5,492.45,539.25,520.7559,202418638,517.6324999999999,4.176225410885159,0.870694485,0.04176225410885148,0.05441723,0.0,0.081445485,0.12797936529606302,Uncertain,,,-0.07206509501261527,0.1838184802804718,,neutral
INDUSINDBK.NSE,13-07-2020,549.7,555.0,490.25,520.8,502.9387,96517139,488.46999999999997,6.618625504125131,0.540645066,0.06618625504125122,-0.071611726,0.024424000932399742,0.141963341,0.17003910112006293,Uncertain,,,0.024424000932399742,0.11514781401616994,,neutral
INDUSINDBK.NSE,20-07-2020,524.95,541.65,500.0,522.25,504.339,91028739,463.84250000000003,12.592097533106594,0.490447447,0.12592097533106597,0.004940768,0.08415872122221449,0.071611726,0.5095322240256237,Uncertain,,,0.05973472028981475,0.07206509501261527,,neutral
INDUSINDBK.NSE,27-07-2020,522.55,564.75,505.0,523.75,505.7875,91325390,449.84250000000003,16.429639262630815,0.941177412,0.16429639262630802,-0.010453038,0.12253413851745654,0.082064763,2.9421067938927514,Uncertain,,,0.03837541729524205,0.0,,neutral
INDUSINDBK.NSE,03-08-2020,521.95,521.95,483.25,509.0,491.5434,83238374,453.275,12.29386134245216,0.088417467,0.1229386134245216,-0.002821262,0.0981101375850568,0.0132743,3.6071239927084666,Uncertain,,,-0.04135777920178642,0.04135777920178642,,neutral
INDUSINDBK.NSE,10-08-2020,512.0,530.45,500.15,507.2,489.8051,51182854,458.0799999999999,10.723017813482372,0.291410172,0.10723017813482376,0.009765053,0.03837541729524205,0.0132743,3.7388796592177065,Uncertain,,,-0.015708435289697842,0.05706621449148426,,neutral
INDUSINDBK.NSE,17-08-2020,510.0,530.0,502.5,513.55,495.9373,43132461,468.0975,9.710049722547097,0.555673858,0.09710049722547104,-0.020393444,0.0,0.023214706,3.368738479966346,Uncertain,,,-0.01012968090935272,0.06719589540083698,,neutral
INDUSINDBK.NSE,24-08-2020,518.0,689.0,516.0,665.65,642.8209,164663526,481.61,38.21349224476236,7.15733415,0.3821349224476235,0.227227938,0.28503442522215244,0.020393444,3.368738479966346,Continuation,,,0.28503442522215244,0.025838116199050562,,neutral
