setup_type,time,entry_price,stop_loss,take_profit,outcome_8,initiation_date,returns,exit_time,ticker
LONG,27-02-2023 00:00,1260.25,1177.8,1370.425,Structure Break,19-12-2022,0.234318626,27-02-2023 04:00,M&M
SHORT,18-05-2021 04:00,793.700012,858.79625,712.8225,SL,12-04-2021,-0.075799397,07-10-2021 00:00,M&M
LONG,24-06-2025 00:00,246.669998,232.91775,263.9375,Structure Break,26-05-2025,-0.040458897,24-06-2025 04:00,ONGC
LONG,12-10-2020 00:00,86.599998,78.2925,106.54875,Structure Break,27-07-2020,0.430138578,12-10-2020 04:00,PFC
LONG,04-06-2024 04:00,446.75,397.5075,537.45875,Structure Break,06-05-2024,0.078455483,04-06-2024 08:00,PFC
LONG,12-10-2020 00:00,160.449996,147.29871,180.10849,Structure Break,18-05-2020,0.375194755,12-10-2020 04:00,POWERGRID
SHORT,20-06-2022 08:00,2543.050048,2621.704,2164.227,SL,30-05-2022,-0.03000108,12-08-2022 00:00,RELIANCE
LONG,06-03-2024 04:00,24545.09961,22864.725,26700.43,Structure Break,14-08-2023,0.020382919,06-03-2024 08:00,SHREECEM
SHORT,17-01-2022 08:00,27545.34961,30564.3725,24568.29375,TP,08-11-2021,0.12117471,24-01-2022 00:00,SHREECEM
LONG,20-12-2022 00:00,1366.949951,1240.2975,1552.26,Structure Break,03-05-2021,0.031859286,20-12-2022 04:00,SHRIRAMFIN
LONG,20-12-2022 00:00,1366.949951,1241.4675,1597.77,Structure Break,27-09-2021,0.031859286,20-12-2022 04:00,SHRIRAMFIN
SHORT,20-12-2022 00:00,1366.949951,1447.3,1218.75,TP,26-07-2021,0.12159996,21-02-2023 08:00,SHRIRAMFIN
SHORT,04-11-2020 00:00,510.799987,542.5325,440.94375,SL,05-10-2020,-0.058489608,01-12-2020 08:00,SUNPHARMA
LONG,05-08-2024 04:00,1025.599975,961.98375,1110.02375,Structure Break,15-07-2024,-0.062028302,05-08-2024 08:00,TATAMOTORS
SHORT,18-08-2025 00:00,678.400024,724.1625,611.4225,SL,21-07-2025,-0.063193656,18-09-2025 00:00,TATAMOTORS
LONG,27-07-2023 00:00,1089.050048,1033.5975,1160.8125,Structure Break,05-06-2023,0.136816485,27-07-2023 04:00,TECHM
SHORT,01-06-2022 08:00,2819,2908.1915,2470.7085,SL,25-04-2022,-0.03066906,02-06-2022 00:00,TORNTPHARM
LONG,10-11-2022 04:00,1465.449951,1339.50375,1605.15,Structure Break,10-10-2022,-0.054044801,10-11-2022 08:00,TRENT
SHORT,09-02-2023 00:00,1273.150024,1399.125,1147.575,SL,26-12-2022,-0.0900384,21-04-2023 00:00,TRENT
SHORT,09-11-2022 00:00,7026.649902,7764.375,6236.295,SL,31-01-2022,-0.095014099,10-04-2023 00:00,ULTRACEMCO
LONG,22-10-2021 04:00,327.25,276.07125,395.5475,Structure Break,27-09-2021,0.299770836,22-10-2021 08:00,VEDL
