symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept,CoC+,level
ADANIPOWER.NSE,2021-01-25,53.35,53.85,48.5,51.3,51.3,16321772,-1.0,48.5,,,,,1.0,53.85,48.5,290268740.0,0.0,54.310925,,,,,,,,,1.0,48.5
ADANIPOWER.NSE,2021-02-01,52.0,54.85,51.0,52.3,52.3,28711068,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIPOWER.NSE,2021-02-08,52.85,58.5,52.0,57.25,57.25,58629482,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIPOWER.NSE,2021-02-15,57.55,59.1,52.8,55.85,55.85,102162326,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIPOWER.NSE,2021-02-22,56.0,57.35,54.85,55.2,55.2,31514870,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIPOWER.NSE,2021-03-01,55.85,74.9,55.4,74.35,74.35,156591528,,,,,,,,,,,,,1.0,73.95,57.35,86.0,,,,,0.0,
AMBUJACEM.NSE,2025-06-16,543.95,556.6,528.45,533.45,533.45,7846237,-1.0,528.45,,,,,,,,,,,,,,,,,,,1.0,528.45
AMBUJACEM.NSE,2025-06-23,530.0,579.75,528.45,574.95,574.95,15790757,,,,,,,1.0,579.75,528.45,36797736.0,0.0,27.101316,1.0,572.2,556.6,293.0,,,,,0.0,
AMBUJACEM.NSE,2025-06-30,575.05,601.75,572.2,595.75,595.75,13160740,,,,,,,,,,,,,1.0,580.0,579.75,292.0,,,,,0.0,
AMBUJACEM.NSE,2025-07-07,596.0,596.85,580.0,587.15,587.15,11776752,,,,,,,,,,,,,,,,,,,,,0.0,
AMBUJACEM.NSE,2025-07-14,586.75,599.75,584.5,596.7,596.7,8904230,,,,,,,,,,,,,1.0,597.15,596.85,291.0,,,,,0.0,
AMBUJACEM.NSE,2025-07-21,599.35,624.95,597.15,613.1,613.1,15071223,1.0,624.95,,,,,,,,,,,,,,,,,,,0.0,
ASIANPAINT.NSE,2020-07-13,1708.0,1742.5,1645.1,1717.9,1642.9259,7999769,-1.0,1645.1,,,,,1.0,1742.5,1645.1,34817028.0,0.0,50.939857,,,,,,,,,1.0,1645.1
ASIANPAINT.NSE,2020-07-20,1727.0,1771.75,1682.0,1712.05,1638.7808,11584251,,,,,,,,,,,,,,,,,,,,,0.0,
ASIANPAINT.NSE,2020-07-27,1717.2,1792.65,1710.4,1715.5,1642.0832,14328216,,,,,,,,,,,,,,,,,,,,,0.0,
ASIANPAINT.NSE,2020-08-03,1729.0,1816.9,1697.5,1806.25,1728.9494,11750206,,,,,,,,,,,,,,,,,,,,,0.0,
ASIANPAINT.NSE,2020-08-10,1810.0,1837.8,1772.0,1802.55,1725.4077,9672123,,,,,,,,,,,,,,,,,,,,,0.0,
ASIANPAINT.NSE,2020-08-17,1820.0,1973.25,1801.85,1958.0,1874.2051,13394699,,,,,,,,,,,,,1.0,1940.0,1837.8,35.0,,,,,0.0,
DMART.NSE,2023-10-03,3675.4,3938.4,3616.0,3833.95,3833.95,2924840,-1.0,3616.0,,,,,,,,,,,1.0,3771.0,3702.95,198.0,-1.0,3626.7666,215.0,255.0,1.0,3616.0
DMART.NSE,2023-10-09,3809.6,3941.0,3771.0,3935.85,3935.85,1649429,1.0,3941.0,1.0,,3941.0,204.0,,,,,,,,,,,,,,,0.0,
DMART.NSE,2023-10-16,3825.05,3885.0,3742.1,3749.5,3749.5,2221346,,,,,,,,,,,,,-1.0,3771.0,3768.0,201.0,,,,,0.0,
