setup_type,time,entry_price,stop_loss,take_profit,outcome_6,outcome_8,initiation_date,returns,exit_time,ticker
SHORT,12-12-2022 08:00,4334.5,4442.8625,3570,SL,SL,01-02-2021,-0.024390244,14-12-2022 00:00,LTIM
SHORT,02-05-2023 00:00,4519,4848,4148.2,Structure Break,Structure Break,03-04-2023,-0.142333893,11-10-2023 04:00,LTIM
LONG,13-08-2024 04:00,1040.25,985.2,1130,Structure Break,Structure Break,24-06-2024,-0.193943764,23-01-2025 00:00,LICI
LONG,27-02-2023 00:00,1260.25,1208,1337,SL,Structure Break,19-12-2022,0.234318626,11-08-2023 04:00,M&M
SHORT,18-05-2021 04:00,793.700012,837.85,731.1,Structure Break,Structure Break,12-04-2021,-0.116343797,27-10-2021 00:00,M&M
LONG,24-06-2025 00:00,246.669998,238.89,257.5,Structure Break,Structure Break,26-05-2025,-0.040458897,19-09-2025 08:00,ONGC
LONG,12-10-2020 00:00,86.599998,80.3,103.95,Structure Break,Structure Break,27-07-2020,0.430138578,19-03-2021 08:00,PFC
LONG,04-06-2024 04:00,446.75,407.7,524.35,SL,SL,06-05-2024,-0.087409065,05-06-2024 00:00,PFC
LONG,12-10-2020 00:00,160.449996,151.0756,175.7156,Structure Break,Structure Break,18-05-2020,0.375194755,24-03-2021 00:00,POWERGRID
SHORT,20-06-2022 08:00,2543.050048,2606.626299,2219.72,Structure Break,Structure Break,30-05-2022,-0.075926581,01-12-2022 00:00,RELIANCE
LONG,06-03-2024 04:00,24545.09961,23451,26049.2,Structure Break,Structure Break,14-08-2023,0.020382919,22-08-2024 04:00,SHREECEM
SHORT,17-01-2022 08:00,27545.34961,29818.9,25198.25,Structure Break,Structure Break,08-11-2021,0.449015542,30-06-2022 08:00,SHREECEM
LONG,20-12-2022 00:00,1366.949951,1272.1,1514.4,Structure Break,Structure Break,03-05-2021,0.031859286,05-06-2023 00:00,SHRIRAMFIN
LONG,20-12-2022 00:00,1366.949951,1273.3,1558.8,Structure Break,Structure Break,27-09-2021,0.031859286,05-06-2023 00:00,SHRIRAMFIN
SHORT,20-12-2022 00:00,1366.949951,1412,1250,SL,SL,26-07-2021,-0.031905134,21-12-2022 00:00,SHRIRAMFIN
SHORT,04-11-2020 00:00,510.799987,529.3,452.25,Structure Break,Structure Break,05-10-2020,-0.224415417,20-04-2021 04:00,SUNPHARMA
LONG,05-08-2024 04:00,1025.599975,986.65,1082.95,Structure Break,Structure Break,15-07-2024,-0.258775321,15-01-2025 04:00,TATAMOTORS
SHORT,18-08-2025 00:00,678.400024,706.5,627.1,Structure Break,Structure Break,21-07-2025,-0.041062955,19-09-2025 08:00,TATAMOTORS
LONG,27-07-2023 00:00,1089.050048,1060.1,1132.5,Structure Break,Structure Break,05-06-2023,0.136816485,10-01-2024 00:00,TECHM
SHORT,01-06-2022 08:00,2819,2889.475,2534.06,SL,SL,25-04-2022,-0.024390244,02-06-2022 00:00,TORNTPHARM
LONG,10-11-2022 04:00,1465.449951,1373.85,1566,Structure Break,Structure Break,10-10-2022,-0.054044801,24-04-2023 04:00,TRENT
SHORT,09-02-2023 00:00,1273.150024,1365,1177,Structure Break,Structure Break,26-12-2022,-0.255250059,26-07-2023 00:00,TRENT
SHORT,09-11-2022 00:00,7026.649902,7575,6396.2,Structure Break,Structure Break,31-01-2022,-0.098060507,17-04-2023 00:00,ULTRACEMCO
SHORT,09-09-2024 04:00,1515.050048,1609.45,635.25,Structure Break,Max_Hold,19-08-2024,2.189243426,19-02-2025 00:00,VBL
LONG,22-10-2021 04:00,327.25,283.15,385.9,Structure Break,Structure Break,27-09-2021,0.299770836,06-04-2022 04:00,VEDL
