setup_type,time,entry_price,stop_loss,take_profit,outcome_6,initiation_date,ticker
SHORT,18-08-2025 00:00,678.400024,706.5,627.1,TP,21-07-2025,TATAMOTORS
LONG,09-12-2022 04:00,1034.099975,1005.25,1116.3,TP,07-11-2022,TECHM
LONG,27-07-2023 04:00,1112.5,1060.1,1132.5,TP,05-06-2023,TECHM
LONG,10-02-2025 08:00,3327.449951,3244.263702,3447.65,TP,13-01-2025,TITAN
SHORT,23-05-2022 04:00,2665,2837.26,2484.14,SL,25-04-2022,TORNTPHARM
LONG,16-11-2022 04:00,1400.300048,1365.292547,1447.7,TP,10-10-2022,TRENT
SHORT,20-04-2023 04:00,1392.400024,1427.210025,1281.5,SL,26-12-2022,TRENT
SHORT,31-03-2023 04:00,7639,7829.975,7294.1,TP,31-01-2022,ULTRACEMCO
LONG,08-01-2025 04:00,609.099975,565,645,TP,11-11-2024,VBL
SHORT,09-09-2024 04:00,1515.050048,1609.45,635.25,TP,19-08-2024,VBL
LONG,28-10-2021 04:00,304.200012,283.15,342.45,SL,27-09-2021,VEDL
LONG,28-10-2024 04:00,558.950012,520.3,578.76,TP,07-10-2024,WIPRO
LONG,02-09-2022 04:00,371.899993,340,401.75,TP,25-07-2022,ZYDUSLIFE
