Code,Name,Country,Exchange,Currency,Type,Isin,Company Name,Industry_x,Symbol,Series,ISIN Code,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry_y,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
POLYMED,Poly Medicure Limited,India,NSE,INR,Common Stock,INE205C01021,Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,531768,Poly Medicure Ltd,POLYMED,Poly Medicure Ltd,Active,A ,5.00,INE205C01021,Medical Equipment & Supplies,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
POONAWALLA,Poonawalla Fincorp Limited,India,NSE,INR,Common Stock,INE511C01022,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,524000,POONAWALLA FINCORP LIMITED,POONAWALLA,Poonawalla Fincorp Ltd,Active,A ,2.00,INE511C01022,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
POWERGRID,Power Grid Corporation of India Limited,India,NSE,INR,Common Stock,INE752E01010,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,532898,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,Power Grid Corporation of India Ltd,Active,A ,10.00,INE752E01010,Power - Transmission,Equity,Utilities,Power,Power,Power - Transmission
POWERINDIA,Hitachi Energy India Limited,India,NSE,INR,Common Stock,INE07Y701011,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,543187,HITACHI ENERGY INDIA LIMITED,POWERINDIA,Hitachi Energy India Ltd,Active,A ,2.00,INE07Y701011,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
PPLPHARMA,Piramal Pharma Limited,India,NSE,INR,Common Stock,INE0DK501011,Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,543635,PIRAMAL PHARMA LIMITED,PPLPHARMA,Piramal Pharma Ltd,Active,A ,10.00,INE0DK501011,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
PRAJIND,Praj Industries Limited,India,NSE,INR,Common Stock,INE074A01025,Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,522205,Praj Industries Ltd.,PRAJIND,Praj Industries Ltd,Active,A ,2.00,INE074A01025,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
PREMIERENE,Premier Energies Limited,India,NSE,INR,Common Stock,INE0BS701011,Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,544238,Premier Energies Limited,PREMIERENE,Premier Energies Ltd,Active,A ,1.00,INE0BS701011,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
PRESTIGE,Prestige Estates Projects Limited,India,NSE,INR,Common Stock,INE811K01011,Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,533274,Prestige Estates Projects Limited,PRESTIGE,Prestige Estates Projects Ltd,Active,A ,10.00,INE811K01011,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PTCIL,PTC INDUSTRIES LTD,India,NSE,INR,Common Stock,INE596F01018,PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018,539006,PTC Industries Ltd.,PTCIL,PTC Industries Ltd,Active,A ,10.00,INE596F01018,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
PVRINOX,PVR INOX Ltd.,India,NSE,INR,Common Stock,INE191H01014,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,532689,PVR INOX LIMITED,PVRINOX,PVR Inox Ltd,Active,A ,10.00,INE191H01014,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
