Code,Name,Country,Exchange,Currency,Type,Isin,Company Name,Industry_x,Symbol,Series,ISIN Code,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry_y,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
SRF,SRF Limited,India,NSE,INR,Common Stock,INE647A01010,SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,503806,SRF Ltd.,SRF,SRF Ltd,Active,A ,10.00,INE647A01010,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
STARHEALTH,Star Health and Allied Insurance Company Limited,India,NSE,INR,Common Stock,INE575P01011,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011,543412,Star Health and Allied Insurance Company Limited,STARHEALTH,Star Health and Allied Insurance Company Ltd,Active,A ,10.00,INE575P01011,General Insurance,Equity,Financial Services,Financial Services,Insurance,General Insurance
SUMICHEM,Sumitomo Chemical India Limited,India,NSE,INR,Common Stock,INE258G01013,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,542920,SUMITOMO CHEMICAL INDIA LIMITED,SUMICHEM,Sumitomo Chemical India Ltd,Active,A ,10.00,INE258G01013,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SUNDARMFIN,Sundaram Finance Limited,India,NSE,INR,Common Stock,INE660A01013,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,590071,SUNDARAM FINANCE LTD,SUNDARMFIN,Sundaram Finance Ltd,Active,B ,10.00,INE660A01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SUNDRMFAST,Sundram Fasteners Limited,India,NSE,INR,Common Stock,INE387A01021,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021,500403,Sundram Fasteners Ltd.,SUNDRMFAST,Sundram Fasteners Ltd,Active,A ,1.00,INE387A01021,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUNPHARMA,Sun Pharmaceutical Industries Limited,India,NSE,INR,Common Stock,INE044A01036,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,524715,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Sun Pharmaceutical Industries Ltd,Active,A ,1.00,INE044A01036,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SUNTV,Sun TV Network Limited,India,NSE,INR,Common Stock,INE424H01027,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,532733,SUN TV NETWORK LIMITED,SUNTV,Sun TV Network Ltd,Active,A ,5.00,INE424H01027,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
SUPREMEIND,Supreme Industries Limited,India,NSE,INR,Common Stock,INE195A01028,Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,509930,Supreme Industries Ltd.,SUPREMEIND,Supreme Industries Ltd,Active,A ,2.00,INE195A01028,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
SUZLON,Suzlon Energy Limited,India,NSE,INR,Common Stock,INE040H01021,Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,532667,SUZLON ENERGY LTD.,SUZLON,Suzlon Energy Ltd,Active,A ,2.00,INE040H01021,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SWIGGY,SWIGGY LIMITED,India,NSE,INR,Common Stock,INE00H001014,Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,544285,SWIGGY LIMITED,SWIGGY,Swiggy Ltd,Active,B ,1.00,INE00H001014,E-Retail/ E-Commerce,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
SWSOLAR,Sterling and Wilson Renewable Energy Limited,India,NSE,INR,Common Stock,INE00M201021,Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021,542760,STERLING AND WILSON RENEWABLE ENERGY LIMITED,SWSOLAR,Sterling and Wilson Renewable Energy Ltd,Active,A ,1.00,INE00M201021,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
SYNGENE,Syngene International Limited,India,NSE,INR,Common Stock,INE398R01022,Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,539268,Syngene International Limited,SYNGENE,Syngene International Ltd,Active,A ,10.00,INE398R01022,Healthcare Research- Analytics & Technology,Equity,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
SYRMA,Syrma SGS Technology Limited,India,NSE,INR,Common Stock,INE0DYJ01015,Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,543573,Syrma SGS Technology Limited,SYRMA,Syrma SGS Technology Ltd,Active,A ,10.00,INE0DYJ01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
TANLA,Tanla Platforms Limited,India,NSE,INR,Common Stock,INE483C01032,Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032,532790,TANLA PLATFORMS LIMITED,TANLA,Tanla Platforms Ltd,Active,A ,1.00,INE483C01032,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
TARIL,TRANSFORMERS AND RECTIFIERS INDIA,India,NSE,INR,Common Stock,INE763I01026,Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026,532928,Transformers and Rectifiers (India) Limited,TARIL,Transformers and Rectifiers (India) Ltd,Active,A ,1.00,INE763I01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
TATACHEM,Tata Chemicals Limited,India,NSE,INR,Common Stock,INE092A01019,Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,500770,Tata Chemicals Ltd,TATACHEM,Tata Chemicals Ltd,Active,A ,10.00,INE092A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
TATACOMM,Tata Communications Limited,India,NSE,INR,Common Stock,INE151A01013,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,500483,Tata Communications Limited,TATACOMM,Tata Communications Ltd,Active,A ,10.00,INE151A01013,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,India,NSE,INR,Common Stock,INE192A01025,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,Tata Consumer Products Ltd,Active,A ,1.00,INE192A01025,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
TATAELXSI,Tata Elxsi Limited,India,NSE,INR,Common Stock,INE670A01012,Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,500408,Tata Elxsi Ltd,TATAELXSI,Tata Elxsi Ltd,Active,A ,10.00,INE670A01012,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
TATAINVEST,Tata Investment Corporation Limited,India,NSE,INR,Common Stock,INE672A01018,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018,501301,Tata Investment Corporation Ltd.,TATAINVEST,Tata Investment Corporation Ltd,Active,A ,10.00,INE672A01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
TATAMOTORS,Tata Motors Limited,India,NSE,INR,Common Stock,INE155A01022,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,500570,Tata Motors Ltd.,TATAMOTORS,Tata Motors Ltd,Active,A ,2.00,INE155A01022,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
TATAPOWER,Tata Power Company Limited,India,NSE,INR,Common Stock,INE245A01021,Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,500400,Tata Power Co. Ltd,TATAPOWER,Tata Power Company Ltd,Active,A ,1.00,INE245A01021,Integrated Power Utilities,Equity,Utilities,Power,Power,Integrated Power Utilities
TATASTEEL,Tata Steel Limited,India,NSE,INR,Common Stock,INE081A01020,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,500470,TATA STEEL LIMITED,TATASTEEL,Tata Steel Ltd,Active,A ,1.00,INE081A01020,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
TATATECH,Tata Technologies Limited,India,NSE,INR,Common Stock,,Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,544028,Tata Technologies Limited,TATATECH,Tata Technologies Ltd,Active,A ,2.00,INE142M01025,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
TBOTEK,TBO Tek Ltd,India,NSE,INR,Common Stock,INE673O01025,TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025,544174,TBO TEK LIMITED,TBOTEK,TBO TEK Ltd,Active,A ,1.00,INE673O01025,"Tour, Travel Related Services",Equity,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
TCS,Tata Consultancy Services Limited,India,NSE,INR,Common Stock,INE467B01029,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,532540,Tata Consultancy Services Ltd.,TCS,Tata Consultancy Services Ltd,Active,A ,1.00,INE467B01029,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
TECHM,Tech Mahindra Limited,India,NSE,INR,Common Stock,INE669C01036,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,532755,Tech Mahindra Limited,TECHM,Tech Mahindra Ltd,Active,A ,5.00,INE669C01036,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
TECHNOE,Techno Electric & Engineering Company Limited,India,NSE,INR,Common Stock,INE285K01026,Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026,542141,Techno Electric & Engineering Company Limited,TECHNOE,Techno Electric & Engineering Company Ltd,Active,A ,2.00,INE285K01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
TEJASNET,Tejas Networks Limited,India,NSE,INR,Common Stock,INE010J01012,Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,540595,Tejas Networks Limited,TEJASNET,Tejas Networks Ltd,Active,A ,10.00,INE010J01012,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
THERMAX,Thermax Limited,India,NSE,INR,Common Stock,INE152A01029,Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029,500411,Thermax Ltd.,THERMAX,Thermax Ltd,Active,A ,2.00,INE152A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
TIINDIA,Tube Investments of India Limited,India,NSE,INR,Common Stock,INE974X01010,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,540762,Tube Investments of India Ltd,TIINDIA,Tube Investments of India Ltd,Active,A ,1.00,INE974X01010,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
TIMKEN,Timken India Limited,India,NSE,INR,Common Stock,INE325A01013,Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,522113,Timken India Ltd,TIMKEN,Timken India Ltd,Active,A ,10.00,INE325A01013,Abrasives & Bearings,Equity,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
TITAGARH,Titagarh Rail Systems Limited,India,NSE,INR,Common Stock,INE615H01020,Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020,532966,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,Titagarh Rail Systems Ltd,Active,A ,2.00,INE615H01020,Railway Wagons,Equity,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons
TITAN,Titan Company Limited,India,NSE,INR,Common Stock,INE280A01028,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,500114,Titan Company Limited,TITAN,Titan Company Ltd,Active,A ,1.00,INE280A01028,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
TORNTPHARM,Torrent Pharmaceuticals Limited,India,NSE,INR,Common Stock,INE685A01028,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Torrent Pharmaceuticals Ltd,Active,A ,5.00,INE685A01028,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
TORNTPOWER,Torrent Power Limited,India,NSE,INR,Common Stock,INE813H01021,Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,532779,TORRENT POWER LIMITED,TORNTPOWER,Torrent Power Ltd,Active,A ,10.00,INE813H01021,Integrated Power Utilities,Equity,Utilities,Power,Power,Integrated Power Utilities
TRENT,Trent Limited,India,NSE,INR,Common Stock,INE849A01020,Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,500251,Trent Ltd [Lakme Ltd],TRENT,Trent Ltd,Active,A ,1.00,INE849A01020,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
TRIDENT,Trident Limited,India,NSE,INR,Common Stock,INE064C01022,Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,521064,Trident Ltd,TRIDENT,Trident Ltd,Active,A ,1.00,INE064C01022,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
TRITURBINE,Triveni Turbine Limited,India,NSE,INR,Common Stock,INE152M01016,Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,533655,Triveni Turbine Limited,TRITURBINE,Triveni Turbine Ltd,Active,A ,1.00,INE152M01016,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
TRIVENI,Triveni Engineering & Industries Limited,India,NSE,INR,Common Stock,INE256C01024,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024,532356,Triveni Engineering & Industries Ltd,TRIVENI,Triveni Engineering & Industries Ltd,Active,A ,1.00,INE256C01024,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
TTML,Tata Teleservices (Maharashtra) Limited,India,NSE,INR,Common Stock,INE517B01013,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013,532371,Tata Teleservices (Maharashtra) Ltd.,TTML,Tata Teleservices (Maharashtra) Ltd,Active,A ,10.00,INE517B01013,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
TVSMOTOR,TVS Motor Company Limited,India,NSE,INR,Common Stock,INE494B01023,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,532343,TVS Motor Company Ltd.,TVSMOTOR,TVS Motor Company Ltd,Active,A ,1.00,INE494B01023,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
UBL,United Breweries Limited,India,NSE,INR,Common Stock,INE686F01025,United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,532478,United Breweries Ltd.,UBL,United Breweries Ltd-$,Active,A ,1.00,INE686F01025,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
UCOBANK,UCO Bank,India,NSE,INR,Common Stock,INE691A01018,UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,532505,UCO Bank,UCOBANK,UCO Bank,Active,A ,10.00,INE691A01018,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank
ULTRACEMCO,UltraTech Cement Limited,India,NSE,INR,Common Stock,INE481G01011,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,532538,UltraTech Cement Ltd,ULTRACEMCO,UltraTech Cement Ltd,Active,A ,10.00,INE481G01011,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
UNIONBANK,Union Bank of India,India,NSE,INR,Common Stock,INE692A01016,Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,532477,Union Bank of India,UNIONBANK,Union Bank of India,Active,A ,10.00,INE692A01016,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank
UNITDSPR,United Spirits Limited,India,NSE,INR,Common Stock,,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,532432,United Spirits Limited,UNITDSPR,United Spirits Ltd,Active,A ,2.00,INE854D01024,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
UNOMINDA,UNO Minda Limited,India,NSE,INR,Common Stock,INE405E01023,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,532539,UNO Minda Limited,UNOMINDA,UNO Minda Ltd-$,Active,A ,2.00,INE405E01023,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
UPL,UPL Limited,India,NSE,INR,Common Stock,INE628A01036,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,512070,UPL Limited,UPL,UPL Ltd,Active,A ,2.00,INE628A01036,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
UPL,UPL Limited,India,NSE,INR,Common Stock,INE628A01036,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,534401,UPL Limited,UPLBBPH,UPLBBPH,Delisted,B ,2.00,INE628A01036, ,Equity,-,-,-,-
USHAMART,Usha Martin Limited,India,NSE,INR,Common Stock,INE228A01035,Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035,517146,Usha Martin Ltd.,USHAMART,Usha Martin Ltd,Active,A ,1.00,INE228A01035,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
UTIAMC,UTI Asset Management Company Limited,India,NSE,INR,Common Stock,INE094J01016,UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016,543238,UTI Asset Management Company Limited,UTIAMC,UTI Asset Management Company Ltd,Active,A ,10.00,INE094J01016,Asset Management Company,Equity,Financial Services,Financial Services,Capital Markets,Asset Management Company
VBL,Varun Beverages Limited,India,NSE,INR,Common Stock,INE200M01039,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,540180,Varun Beverages Limited,VBL,Varun Beverages Ltd,Active,A ,2.00,INE200M01039,Other Beverages,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages
VEDL,Vedanta Limited,India,NSE,INR,Common Stock,INE205A01025,Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,500295,Vedanta Limited,VEDL,Vedanta Ltd,Active,A ,1.00,INE205A01025,Diversified Metals,Equity,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
VGUARD,V-Guard Industries Limited,India,NSE,INR,Common Stock,INE951I01027,V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027,532953,V-Guard Industries Ltd.,VGUARD,V-Guard Industries Ltd,Active,A ,1.00,INE951I01027,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
VIJAYA,Vijaya Diagnostic Centre Limited,India,NSE,INR,Common Stock,INE043W01024,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,543350,Vijaya Diagnostic Centre Limited,VIJAYA,Vijaya Diagnostic Centre Ltd,Active,A ,1.00,INE043W01024,Healthcare Service Provider,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
VMM,Vishal Mega Mart Ord Shs,India,NSE,INR,Common Stock,INE01EA01019,Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,544307,Vishal Mega Mart Limited,VMM,Vishal Mega Mart Ltd,Active,B ,10.00,INE01EA01019,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
VOLTAS,Voltas Limited,India,NSE,INR,Common Stock,INE226A01021,Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,500575,Voltas Ltd.,VOLTAS,Voltas Ltd,Active,A ,1.00,INE226A01021,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
VTL,Vardhman Textiles Limited,India,NSE,INR,Common Stock,INE825A01020,Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,502986,Vardhman Textiles Limted,VTL,Vardhman Textiles Ltd,Active,A ,2.00,INE825A01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
WAAREEENER,Waaree Energies Limited,India,NSE,INR,Common Stock,INE377N01017,Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,544277,Waaree Energies Limited,WAAREEENER,Waaree Energies Ltd,Active,B ,10.00,INE377N01017,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
WELCORP,Welspun Corp Limited,India,NSE,INR,Common Stock,INE191B01025,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,532144,Welspun Corp Limited,WELCORP,Welspun Corp Ltd,Active,A ,5.00,INE191B01025,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
WELSPUNLIV,Welspun Living Limited,India,NSE,INR,Common Stock,INE192B01031,Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,514162,WELSPUN LIVING LIMITED,WELSPUNLIV,Welspun Living Ltd,Active,A ,1.00,INE192B01031,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
WESTLIFE,WESTLIFE FOODWORLD LIMITED,India,NSE,INR,Common Stock,INE274F01020,Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020,505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE,Westlife Foodworld Ltd,Active,A ,2.00,INE274F01020,Restaurants,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
WHIRLPOOL,Whirlpool of India Limited,India,NSE,INR,Common Stock,INE716A01013,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,500238,Whirlpool of India Ltd,WHIRLPOOL,Whirlpool of India Ltd,Active,A ,10.00,INE716A01013,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
WIPRO,Wipro Limited,India,NSE,INR,Common Stock,INE075A01022,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,507685,Wipro  Ltd.,WIPRO,Wipro Ltd,Active,A ,2.00,INE075A01022,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
WOCKPHARMA,Wockhardt Limited,India,NSE,INR,Common Stock,INE049B01025,Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025,532300,Wockhardt Ltd,WOCKPHARMA,Wockhardt Ltd,Active,A ,5.00,INE049B01025,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
YESBANK,Yes Bank Limited,India,NSE,INR,Common Stock,INE528G01035,Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,532648,Yes Bank Ltd.,YESBANK,Yes Bank Ltd,Active,A ,2.00,INE528G01035,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank
ZEEL,Zee Entertainment Enterprises Limited,India,NSE,INR,Common Stock,INE256A01028,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028,505537,Zee Entertainment Enterprises Ltd.,ZEEL,Zee Entertainment Enterprises Ltd,Active,A ,1.00,INE256A01028,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
ZENSARTECH,Zensar Technologies Limited,India,NSE,INR,Common Stock,INE520A01027,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,504067,Zensar Technologies Ltd.,ZENSARTECH,Zensar Technologies Ltd,Active,A ,2.00,INE520A01027,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ZENTEC,Zen Technologies Limited,India,NSE,INR,Common Stock,INE251B01027,Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,533339,Zen Technologies Ltd.,ZENTEC,ZEN Technologies Ltd,Active,A ,1.00,INE251B01027,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,India,NSE,INR,Common Stock,INE342J01019,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,533023,ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd,Active,A ,5.00,INE342J01019,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ZYDUSLIFE,Zydus Lifesciences Limited,India,NSE,INR,Common Stock,INE010B01027,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,532321,Zydus Lifesciences Limited,ZYDUSLIFE,Zydus Lifesciences Ltd,Active,A ,1.00,INE010B01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
