company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
ACC Ltd,2023-10-26T13:40:38.443,500410,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=65aa32db-c2b6-411b-9744-ca25777c85cf.pdf
APL Apollo Tubes Ltd,2023-10-30T15:43:32.74,533758,4630.40,202.87,,7.32,7.31,,202.87,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=05ec9c88-fe1d-4c26-ad1a-f79222825a92.pdf
AU Small Finance Bank Ltd,2023-10-28T14:22:40.093,540611,295651.81,40183.49,,6.02,5.98,,40183.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ff04439a-a2fa-4473-8076-e39ba713348e.pdf
AAVAS Financiers Ltd,2023-10-26T16:14:17.233,541988,49683.70,12266.18,,15.38,15.37,,12266.18,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=658d64b1-d6d4-4eac-b911-ac0be6878141.pdf
Adani Green Energy Ltd,2023-10-30T19:17:45.24,541450,2054,-259,,-1.73,-1.73,,-259,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5dac18b4-b525-46aa-950b-824924fe8d0b.pdf
Adani Total Gas Ltd,2023-10-31T16:21:49.4,542066,1178.77,172.68,,1.57,1.57,,172.68,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=59338ba8-f68a-4da1-93a2-42d67f22c00b.pdf
Aditya Birla Real Estate Ltd,2023-10-20T12:57:54.657,500040,1114.88,-32.87,,-2.75,-2.75,-2.30,-32.87,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5d41b1a-6b96-4904-83c1-26aa9d697f7d.pdf
Aditya Birla Sun Life AMC Ltd,2023-10-26T18:03:46.79,543374,334.99,178.09,,6.18,6.17,,178.09,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f61ef6e6-5e45-4eaa-86e3-de71dd4928c9.pdf
Ajanta Pharma Ltd,2023-10-31T14:15:46.833,532331,1028,195,291,15.51,15.50,28,195,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f2b564d9-f6e1-4bce-9e97-e32da18568e9.pdf
Alok Industries Ltd,2023-10-23T17:13:55.233,521070,1359.02,-174.83,,-0.35,-0.35,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=36ef5dd8-bc75-4be4-a5de-f31a716e6ff4.pdf
Amara Raja Energy & Mobility Ltd,2023-10-31T18:10:15.33,500008,2959.34,226.32,,13.25,13.25,,226.32,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=25d098c7-fcac-4ea1-8094-97bd90081202.pdf
Amber Enterprises India Ltd,2023-10-21T14:17:20.64,540902,92706.47,-565.22,,-2.06,-2.06,,-565.22,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b10d180a-29da-4669-83f2-16b626bdeb28.pdf
Anand Rathi Wealth Ltd,2023-10-12T17:54:14.73,543415,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=89961b71-04b4-4f9f-aaea-3702ce953c49.pdf
