company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
360 ONE WAM LTD,2025-01-27T16:38:09.36,542772,934.34,276.47,,7.26,6.96,,276.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0d56825a-535e-40c2-941e-beca729e69d6.pdf
ACC Ltd,2025-01-27T13:43:25.373,500410,5207.29,1091.79,,58.14,57.98,,1091.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a2200512-c9a2-469b-81cf-f4fc26e9a185.pdf
ACME Solar Holdings Ltd,2025-01-29T10:28:06.587,544283,3490.12,1120.58,3590.13,2.09,2.09,,1120.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a504167-8c59-48f6-97be-a13238aa5f92.pdf
APL Apollo Tubes Ltd,2025-01-20T14:47:33.75,533758,5432.73,316.57,,7.82,7.82,,316.57,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22b7c75e-0683-43a9-96f7-3dcbb8f163ad.pdf
AU Small Finance Bank Ltd,2025-01-24T14:41:54.12,540611,473188.52,52844.63,,7.10,7.08,,52844.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=352207f1-4dbd-439b-bf67-baa39edeac92.pdf
AWL Agri Business Ltd,2025-01-27T13:10:38.93,543458,15859.31,410.93,,3.16,3.16,,410.93,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ce7fc87-808e-4cb4-8ecd-f29689ed91b9.pdf
AAVAS Financiers Ltd,2025-01-30T15:56:25.673,541988,59791.73,14642.29,,18.50,18.45,,14642.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e675bddc-6e86-4d27-ab85-1d0ed0528e2c.pdf
Adani Energy Solutions Ltd,2025-01-23T14:55:22.48,539254,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8532726e-4753-4e66-85de-162fe96ab1b6.pdf
Adani Enterprises Ltd,2025-01-30T14:21:25.41,512599,22848.42,228.64,,0.04,0.04,12.06,228.64,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64598474-fbc2-4865-9fa5-901974357332.pdf
Adani Green Energy Ltd,2025-01-23T19:05:09.207,541450,1993,474,1848,2.92,2.92,92.0,474,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e94f33b4-078e-4b0b-b223-82d9b1ffb122.pdf
Adani Ports and Special Economic Zone Ltd,2025-01-30T13:07:36.597,532921,7963.55,2518.39,4892.06,11.67,11.67,60,2520.26,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ad38f82a-8e66-462d-96d8-c244ab20955e.pdf
Adani Power Ltd,2025-01-29T14:54:07.87,533096,14833.44,2940.07,6185.18,7.67,7.67,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0b291f16-c649-4223-a6e2-d1141e80f70e.pdf
Adani Total Gas Ltd,2025-01-27T14:21:56.977,542066,1400.88,142.38,,1.29,1.29,,142.38,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2c99687a-89f7-4e07-9427-9546abac1677.pdf
Aditya Birla Real Estate Ltd,2025-01-21T13:23:41.043,500040,961.32,-42.37,0.29,-3.64,-3.61,-5.32,-42.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=df1db9bc-c681-4e52-85ed-77a60e0b984f.pdf
Aditya Birla Sun Life AMC Ltd,2025-01-27T18:34:11.49,543374,445.11,224.47,,7.78,7.76,,224.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e5428412-d641-477c-af3c-1088a47f48eb.pdf
Ajanta Pharma Ltd,2025-01-30T15:35:09.143,532331,1146.13,232.88,321,18.60,18.59,28,232.88,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c389b762-9030-46e2-9785-2ce8f0dba0dc.pdf
Alivus Life Sciences Ltd,2025-01-23T14:23:13.183,543322,6418.44,1369.60,,11.18,11.14,,1369.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e21e6b69-26e5-492f-b7f0-c857d3254ec8.pdf
Alkyl Amines Chemicals Ltd-$,2025-01-24T17:54:08.04,506767,377.80,43.76,,8.56,8.55,,43.76,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c933a4a0-21d5-4230-a8de-1d662999e0da.pdf
Alok Industries Ltd,2025-01-16T13:56:19.08,521070,863.86,-272.99,-15.23,-0.55,-0.55,,-272.99,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=663f3af2-72e1-498d-9192-97bb8f07546c.pdf
Amber Enterprises India Ltd,2025-01-23T17:59:06.03,540902,213312.75,3704.60,17472.15,11.34,11.30,,3704.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d61ec38f-0ec5-48e6-9e50-d276d1e6aada.pdf
Ambuja Cements Ltd,2025-01-29T13:19:09.613,500425,8415.31,2620.09,,8.59,8.59,,2620.09,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=07acab74-66c8-4f06-bb50-6c73dd4b4716.pdf
Anand Rathi Wealth Ltd,2025-01-13T18:18:14.023,543415,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=861e026e-1278-4358-ba3e-48bb7c47799f.pdf
Angel One Ltd,2025-01-13T18:51:29.15,543235,12622.06,2814.72,,31.25,30.70,32.43,2814.72,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8627e606-23f3-491d-a40d-bb05e9a41cc6.pdf
Apar Industries Ltd,2025-01-28T12:36:03.723,532259,4716,175,401,43.55,43.55,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3984ffad-03d6-4353-8e47-d71de6a1280f.pdf
Aptus Value Housing Finance India Ltd,2025-01-31T13:39:57.767,543335,45004.51,19050.49,,3.82,3.81,51.78,19050.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=76e68bbd-8130-4e2d-9008-695c9b15915f.pdf
Asahi India Glass Ltd,2025-01-29T13:37:03.287,515030,113870,10454,,4.34,4.34,,10454,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ac04a8fa-e17e-4b4c-9d37-1734f04c8240.pdf
Aster DM Healthcare Ltd,2025-01-31T18:35:54.853,540975,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c186a516-7d5e-4ae0-b000-eff9ae8a7f3c.pdf
Astral Ltd,2025-01-30T16:16:56.52,532830,13970,1126,,4.25,4.25,,1126,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=59b5a333-4018-4040-be97-536c9a7c028c.pdf
Atul Ltd,2025-01-24T14:39:12.437,500027,1416.83,117.10,,36.93,36.93,,117.10,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=61cc66d9-33fd-479a-810d-5ac4ea37e4a5.pdf
Authum Investment & Infrastructure Ltd,2025-01-15T20:53:12.4,539177,616.94,539.41,,31.76,31.76,,539.41,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=001142dd-5005-4bbc-8a09-180851365dd6.pdf
Avenue Supermarts Ltd,2025-01-11T19:49:53.473,540376,15972.55,723.54,,11.12,11.10,,723.54,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9b7f1bd-d4d3-4cd2-ae93-2f1021fc8447.pdf
AXIS Bank Ltd,2025-01-16T15:46:17.8,532215,38959.17,6742.29,,21.79,21.65,,6742.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3ee88ba3-d82e-48b7-8ee0-f07b03e1c5b8.pdf
Bajaj Auto Ltd,2025-01-28T17:49:25.25,532977,13168.88,2195.65,2581,78.7,78.7,20.2,2195.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c539f98-e7be-4271-b79d-5b148441400c.pdf
Bajaj Finance Ltd,2025-01-29T17:24:03.847,500034,18058.32,4308.19,,68.53,68.47,,4308.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9827b88e-43c9-4e56-ad1f-4e7f7ee586d4.pdf
Bajaj Finserv Ltd,2025-01-30T13:01:06.763,532978,32041.81,2231.00,,14.0,13.9,,2231.00,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=594d59f5-3e65-4b65-b4cc-1a3b391f2319.pdf
Bajaj Holdings & Investment Ltd,2025-01-30T16:56:41.477,500490,126.33,1748.36,,157.1,157.1,,1748.36,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=157d62f7-bac2-413f-851d-37354e462f8e.pdf
Bajaj Housing Finance Ltd,2025-01-27T18:18:15.783,544252,2448.86,548.02,,0.66,0.66,,548.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bae74ab9-0876-49de-b0d8-a5da31f71fc0.pdf
Bandhan Bank Ltd,2025-01-31T15:36:06.513,541153,657458.02,42648.57,,2.65,2.65,,42648.57,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8ac9f207-c17e-4a6c-9b0c-067a825b5054.pdf
Bank of India,2025-01-24T16:54:03.217,532149,1995689,251669,,5.53,5.53,18.55,251669,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1af2f969-749f-4c8b-8068-96914fc3cba4.pdf
Bank of Maharashtra,2025-01-15T14:48:28.31,532525,711266,141160,,1.84,,32.43,141160,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=993fb1c3-52a4-4da1-967e-962dd29f0ca8.pdf
Bharat Electronics Ltd,2025-01-30T13:57:55.383,500049,575612,131606,,1.81,1.81,,131606,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=43ff700d-23d5-4d4b-8f75-4b8d4ab903b8.pdf
Bharat Heavy Electricals Ltd,2025-01-28T18:35:51.297,500103,7277.09,134.70,,0.39,0.39,4.43,134.70,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=185c85c9-24a4-44b2-8d71-e49301d9e495.pdf
Bharat Petroleum Corporation Ltd,2025-01-22T15:47:30.85,500547,127550.57,3805.94,,8.91,8.91,3.75,3805.94,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d244b2d5-695f-4bc0-a542-e9598a93e707.pdf
Biocon Ltd,2025-01-30T20:38:02.427,532523,38214,811,,0.21,0.21,,811,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d37849de-08db-48eb-9097-71fb601eadea.pdf
Blue Dart Express Ltd,2025-01-29T18:50:31.31,526612,151169,8101,,34.14,34.14,,8101,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=420ba1f2-a208-4710-bb94-f63ed0dc5840.pdf
Blue Star Ltd,2025-01-29T15:50:03.373,500067,2807.36,132.46,,6.44,6.44,7.46,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=52e4704f-b781-4b66-88e8-edfcc5a07e57.pdf
