company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
Bosch Ltd,2025-01-28T16:40:24.017,500530,44657,4582,,155.37,155.37,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=243366ec-1d6e-4f3d-8366-c6dd9ed22221.pdf
Brigade Enterprises Ltd,2025-01-29T17:26:50.593,532929,146394,23552,,9.98,9.95,,23552,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a965a199-439e-4a7e-915c-4ebd6f81ec2a.pdf
C.E. Info Systems Ltd,2025-01-28T17:43:06.68,543425,11454,3232,,5.96,5.90,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf8b01df-1e57-49fd-9522-ebf6cbd6de71.pdf
CESC Ltd,2025-01-10T14:12:51.317,500084,3561,282,,1.99,1.99,21.2,282,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=27e2a808-abbb-4993-9d7e-f9280e1500ea.pdf
CG Power and Industrial Solutions Ltd,2025-01-28T14:23:59.557,500093,2515.68,237.85,,1.57,1.57,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=af476a81-837f-412c-8cca-5f2e583b49a4.pdf
Canara Bank,2025-01-27T13:33:32.61,532483,37429.90,4214.16,,4.65,4.65,,4214.16,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6cec2086-04a8-4786-a52c-6832671723e8.pdf
Capri Global Capital Ltd,2025-01-23T20:25:22.247,531595,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1b52d96b-be80-4f86-b4af-96ceb4ba4ec1.pdf
Ceat Ltd,2025-01-15T19:42:39.74,500878,329990,9703,,24.01,24.01,10.49,9703,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0127e772-df09-4162-840a-c45b146cdf61.pdf
Central Bank of India,2025-01-20T14:28:52.917,532885,977425,96338,,1.11,1.11,20.16,96338,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=50b402ab-caa4-4385-bbd5-a0f90a8a5334.pdf
Chalet Hotels Ltd,2025-01-29T16:43:11.397,542399,4577.91,965.23,2113.55,4.42,4.42,,965.23,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8cf90683-487f-4706-a286-468f3f3da12c.pdf
Chennai Petroleum Corporation Ltd,2025-01-18T17:06:34.827,500110,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12c990c4-73b6-4560-9abe-79e5b4740bdc.pdf
Cholamandalam Investment and Finance Company Ltd,2025-01-31T13:59:46.83,511243,6812.35,1086.53,,12.93,12.89,,1086.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=414a853e-457d-4760-8a19-81189a038a75.pdf
Cipla Ltd,2025-01-28T14:00:08.513,500087,7072.97,1574.59,,,,,1574.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11d32b86-59af-4fe9-bad6-3470f767c641.pdf
Clean Science and Technology Ltd,2025-01-30T14:02:24.257,543318,2408.16,656.43,,6.18,6.18,,656.43,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=456a1d63-9838-40e2-9685-6a70b0d41db9.pdf
Coforge Ltd,2025-01-23T01:08:53.68,532541,33182,2569,8028,32.26,31.94,,2569,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09c6105b-0a09-4f70-a138-4980256a3dc5.pdf
Colgate Palmolive (India) Ltd,2025-01-28T16:01:44.317,500830,1452,322.8,,,,31.3,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0c114594-2fa0-4ec6-8d8c-cccd452e4ccf.pdf
Computer Age Management Services Ltd,2025-01-29T14:20:27.227,543232,38468.31,12410.63,,25.45,25.33,,12410.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2600b0a9-50af-4c4e-8ee3-05b1bef7c577.pdf
Container Corporation of India Ltd,2025-01-30T19:49:44.723,531344,2208.31,367.28,,6.03,6.03,,367.28,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c09945ce-bb12-49e3-9227-c26c0f779002.pdf
Coromandel International Ltd,2025-01-30T14:58:54.523,506395,6935.19,507.91,717.07,17.77,17.77,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1f9b12ab-9271-4220-a9d7-432638000452.pdf
Craftsman Automation Ltd,2025-01-29T13:45:50.27,543276,158465,1293,,5.42,5.42,,1293,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64e7a17d-05b2-4f4a-91d6-372310c44552.pdf
CreditAccess Grameen Ltd,2025-01-24T17:35:07.187,541770,1380.38,99.52,,6.24,6.24,,99.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=071c50f2-e75a-400b-884e-2388d4b1700e.pdf
Cyient Ltd,2025-01-23T19:06:28.99,532175,19264,1277,,11.11,11.02,,1277,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5429492f-5d6d-4dda-9e3f-554759196a0d.pdf
DCM Shriram Ltd,2025-01-18T18:41:26.053,523367,3518.89,262.14,537.08,16.81,16.81,14.81,537.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6f589367-ae4c-410a-8b4a-3f50310ac740.pdf
DLF Ltd,2025-01-24T18:25:39.56,532868,1528.71,1058.73,,4.28,4.28,,1058.73,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a8b0781a-b582-4783-8b0a-33603b36a3bb.pdf
Dabur India Ltd,2025-01-30T15:13:08.46,500096,3355.25,515.82,,2.95,2.94,20.32,515.82,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0b1e7e48-f453-4cb6-aea7-fd463e8fc90a.pdf
Dalmia Bharat Ltd,2025-01-21T17:13:36.24,542216,3181,66,,3.25,3.25,,66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c536bef1-c7df-4b41-91a3-383d27872d6d.pdf
Deepak Fertilisers & Petrochemicals Corporation Ltd,2025-01-29T14:09:48.597,500645,257902,25309,48600,19.86,19.86,19,25309,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=361b8e89-f1d9-41b4-9582-4aae431fb373.pdf
Dixon Technologies (India) Ltd,2025-01-20T16:41:02.43,540699,10454,217,398,36.12,35.64,3.7,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=99e1bc66-a2d8-421f-a83b-4347cb53d14f.pdf
Dr. Lal PathLabs Ltd,2025-01-30T13:39:15.767,539524,5987,981,,11.63,11.58,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c26f96d-9a9c-4ff1-ad67-ead0d63893db.pdf
Dr Reddys Laboratories Ltd,2025-01-23T17:24:39.15,500124,83586,14133,22982,16.96,16.94,22.4,14133,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=AD7A94BF-9489-4AFA-9A20-DF74A4668F0D-172431.pdf
Elecon Engineering Company Ltd,2025-01-22T12:19:52.323,505700,52900,10800,14300,4.79,4.79,27,10800,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13ddd41a-bbe1-4c75-8095-dc93a475e62d.pdf
Emami Ltd-$,2025-01-27T18:38:00.593,531162,104948,27898,35362,6.39,6.39,,27898,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b0db37c3-7799-468d-af58-8175b3c024e5.pdf
Eternal Ltd,2025-01-20T15:18:25.887,543320,5405,59,,0.06,0.06,,59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=189f6577-91c3-4738-abf1-dc3f9c68de6b.pdf
Exide Industries Ltd,2025-01-28T17:35:10.783,500086,3849,245,449,2.88,2.88,11.7,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fe0c83fe-2869-45d1-853d-395c3616e57a.pdf
Federal Bank Ltd,2025-01-27T20:44:15.13,500469,772490,95544,,3.89,3.85,20.32,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=28bb446c-ad7f-44b3-885d-a984980fdc16.pdf
Five-Star Business Finance Ltd,2025-01-31T16:41:01.823,543663,72737.51,27385.90,,9.36,9.35,,27385.90,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=acdc61b2-5d25-4879-95b4-d6bdb9656c86.pdf
Gail (India) Ltd,2025-01-30T14:44:13.277,532155,36937.05,4084.24,,6.21,6.21,5.75,4084.24,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a403e24-1918-48f7-8ebb-55fb7b05531d.pdf
GMR Airports Ltd,2025-01-28T20:45:35.577,532754,2653.24,202.10,1086.69,0.25,0.22,40.96,202.10,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bf108ce9-95a9-46d6-85a4-359f509ac3de.pdf
Go Digit General Insurance Ltd,2025-01-22T18:19:05.77,544179,237186,11852,,1.29,1.28,,11852,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc054264-3067-4b3c-81a9-16ab75a305f9.pdf
Godrej Agrovet Ltd,2025-01-31T18:28:10.287,540743,2449.63,109.85,228.75,5.80,5.80,8.98,109.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11edeb09-3b9c-4caf-8cfe-c35957a491c6.pdf
Godrej Consumer Products Ltd,2025-01-24T16:27:42.973,532424,3768.43,498.31,,4.87,4.87,20.1,498.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b82f6637-7eb1-47b4-b212-6e50fc5a489c.pdf
Granules India Ltd-$,2025-01-24T13:13:09.683,532482,11376.95,1176.03,,4.85,4.85,,1176.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1fe66993-3140-4cf5-bc57-808e9a07d5e1.pdf
Gravita India Ltd,2025-01-22T16:57:19.5,533282,1006.42,78.06,,11.35,11.35,,78.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8969ce9-329e-4489-9b82-18c85d9f1750.pdf
Great Eastern Shipping Company Ltd,2025-01-28T14:19:17.83,500620,1236.87,593.66,,41.58,41.50,49.40,593.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=28995c91-76fb-4e1e-8b35-cac1f1dba3c9.pdf
Gujarat Fluorochemicals Ltd,2025-01-29T13:14:30.663,542812,1148,126,294,11.47,11.47,18.06,126,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0918ccf5-3431-4ed3-91c1-0ca05989e27d.pdf
Gujarat Mineral Development Corporation Ltd,2025-01-31T14:04:47.313,532181,653.42,147.66,,4.64,4.64,,147.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=554e3c41-0c10-41f7-9fd3-3f049493d7c5.pdf
HCL Technologies Ltd,2025-01-13T17:43:49.68,532281,29890,4594,,16.94,16.93,,4594,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8c1b9bee-a390-44dd-879b-b5f5fda245e3.pdf
HDFC Asset Management Company Ltd,2025-01-14T14:54:08.637,541729,934.63,641.36,,30.02,29.90,,641.36,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13254dd0-b3af-4caf-801f-abf7e35ab350.pdf
HDFC Bank Ltd,2025-01-22T14:13:41.727,500180,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0b7b00aa-4756-4881-a8ac-c53c3f3481b0.pdf
Havells India Ltd,2025-01-16T17:43:55,517354,4888.98,277.96,,4.43,4.43,,277.96,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=25e5ade0-7e7f-43bf-aebb-ad8b02353b6a.pdf
Himadri Speciality Chemical Ltd,2025-01-13T18:13:13.85,500184,1140.66,141.15,,2.88,2.85,,141.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1aae8b5-5441-4fc1-88f2-4a8b96f80272.pdf
Hindustan Petroleum Corporation Ltd,2025-01-23T17:54:10.207,500104,119038.75,2543.65,4536.17,11.95,11.95,3.34,2543.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=68a999f4-0910-4adf-a17e-12035b300550.pdf
Hindustan Unilever Ltd,2025-01-22T16:05:19.95,500696,16050,2989,,12.70,12.70,,2989,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=980fa38f-346b-4865-8685-aa7a0c52e659.pdf
Hindustan Zinc Ltd,2025-01-28T14:04:17.73,500188,8315,2678,,6.34,6.34,42,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cbae5ffb-37cd-4a72-aef2-67c707c7a828.pdf
Hitachi Energy India Ltd,2025-01-29T16:50:28.46,543187,1672.4,137.4,168.9,32.41,32.41,10.1,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3ab71e2f-0e55-4bf6-8a87-d32834cff760.pdf
Home First Finance Company India Ltd,2025-01-28T19:23:28.287,543259,4074.50,973.83,,10.50,10.65,,973.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ce6c3658-042d-4f44-8a8d-f896be0bf078.pdf
Hyundai Motor India Ltd,2025-01-28T14:36:25.757,544274,163230.88,11607.34,,14.29,14.29,,11607.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bc13370f-c265-4ec4-9262-9b42cd93744a.pdf
ICICI Bank Ltd,2025-01-25T14:28:29.697,532174,48367.87,11792.42,,16.72,16.45,,11792.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d09b1c70-3a33-4510-bc27-f76eadf901ae.pdf
ICICI Lombard General Insurance Company Ltd,2025-01-17T16:59:23.07,540716,588283,72438,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b2436121-de22-4a0c-9651-e69f4b86844c.pdf
ICICI Prudential Life Insurance Company Ltd,2025-01-21T18:23:15.57,540133,46000,3265,,2.25,2.24,,3265,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=97a62356-c88f-4810-8d00-f13a0b6ea8d6.pdf
IDBI Bank Ltd,2025-01-20T14:44:52.273,500116,8628.99,1948.07,,1.81,1.81,,1948.07,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5ee20fc3-9366-4ec6-b7fc-1916f1905734.pdf
IRB Infrastructure Developers Ltd,2025-01-31T17:41:02.837,532947,20254.43,60261.09,10490,9.98,9.98,49,60261.09,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf7425a6-07dd-439e-9a6c-c2cc8b655711.pdf
Indegene Ltd,2025-01-30T17:37:49.873,544172,7204,1097,,4.59,4.55,,1097,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d5864ad3-7cb7-4b97-9997-fe4f0d67494f.pdf
India Cements Ltd,2025-01-21T18:10:47.117,530005,940.81,122.30,,162.41,162.41,,122.30,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c4797cea-ea2c-4897-b2c0-d527d4dc2857.pdf
IndiaMART InterMESH Ltd,2025-01-21T15:44:04.13,542726,3543,1210,,20.18,20.13,,1210,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=521c7b1d-5f92-40e2-a513-0cd52640670c.pdf
Indian Bank,2025-01-29T13:33:28.027,532814,18167.54,2909.73,,21.60,21.60,,2909.73,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6654acbf-7bd9-43b0-8a83-e784c8beb762.pdf
Indian Energy Exchange Ltd,2025-01-23T17:55:26.577,540750,13205.30,10729.25,,1.21,1.21,,10729.25,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ccf5cfe-a792-4e1d-aeb5-1318cd88b119.pdf
Indian Hotels Company Ltd,2025-01-17T16:19:16.147,500850,253305,63253,,4.09,4.09,,63253,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f194a8b4-664b-43ec-b8b0-c69b4b08fae0.pdf
Indian Oil Corporation Ltd,2025-01-27T14:47:49.707,530965,21552235,2047.35,,1.54,1.54,1.60,2115.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=048ef15a-b964-4df0-8d2b-f3e6ce6ed9fc.pdf
Indian Overseas Bank,2025-01-20T12:35:15.51,532388,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=35d5770c-4809-4708-a026-91a856e0e4db.pdf
