company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
Castrol India Ltd,2025-04-28T15:56:42.343,500870,1422,233.46,,2.36,2.36,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4c6e11d0-2418-49ac-86e0-63776494852c.pdf
Ceat Ltd,2025-04-29T19:49:06.293,500878,342062,9871,39350,24.60,24.60,11.51,9871,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1bbb20f5-8a64-41ce-8a37-7450f169bf60.pdf
Central Bank of India,2025-04-28T15:40:30.243,532885,1047605,110458,,1.27,1.27,19.25,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1dc3b4e3-4708-4fd2-a7a8-65a949bf3e14.pdf
Chennai Petroleum Corporation Ltd,2025-04-25T14:06:18.013,500110,20580.65,469.93,,31.56,31.56,3.81,469.93,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea1e42bc-0f66-44ed-b01e-4a73478071f5.pdf
Cholamandalam Investment and Finance Company Ltd,2025-04-25T15:07:53.593,511243,7120.69,1266.72,,15.06,15.03,,1266.72,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be5fcca9-1f3b-413a-908c-193050c88123.pdf
Dalmia Bharat Ltd,2025-04-23T19:06:27.183,542216,4091,439,,23.20,23.20,,439,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=344c08da-5100-4dd6-8ef9-2e114af37ba0.pdf
Dr. Lal PathLabs Ltd,2025-04-25T14:20:33.42,539524,6026,1555,,18.57,18.54,,1555,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16d95e8c-570f-4d77-ade5-f7a52c58f63e.pdf
Elecon Engineering Company Ltd,2025-04-24T14:09:19.777,505700,79757,14648,19500,6.53,6.53,24.5,14648,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1df1d867-2963-4d70-853d-df8b5cd143a6.pdf
Eternal Ltd,2025-05-01T15:40:55.157,543320,5833,39,,0.04,0.04,,39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4f48c25d-559f-4f4e-92f0-55fb4387bcb1.pdf
Exide Industries Ltd,2025-04-30T14:09:34.66,500086,4159,255,467,3.00,3.00,11.2,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cb8f6094-9715-44aa-8f6d-c904adcb1276.pdf
Federal Bank Ltd,2025-04-30T19:27:41.017,500469,765431,103023,,4.20,4.16,19.14,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d33efd2-2613-4854-bef9-5064e9b051c2.pdf
Firstsource Solutions Ltd,2025-04-28T16:40:17.56,532809,21677.68,1606.86,,2.33,2.28,11.2,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=af18202e-2b7f-464e-b206-8c15dc5edf0a.pdf
Five-Star Business Finance Ltd,2025-04-29T18:09:58.587,543663,75227.04,27912.39,,9.49,9.55,,27912.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cb3211d-5f95-40ce-a482-d77de132cb7d.pdf
Go Digit General Insurance Ltd,2025-04-28T16:42:39.547,544179,285518,11561,,1.25,1.25,,11561,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c513e60b-f0ee-4518-b059-4662cdf2dfcd.pdf
Godrej Agrovet Ltd,2025-04-30T19:17:07.16,540743,2133.64,66.10,159.63,3.68,3.68,6.87,66.10,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ab6ba89-2aa0-4df0-b7df-dabc4b4abb80.pdf
HDFC Asset Management Company Ltd,2025-04-17T15:11:31.647,541729,901.22,638.73,,29.88,29.78,,638.73,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5cd39d77-624a-450a-b54d-0946c4ae34a8.pdf
HDFC Bank Ltd,2025-04-19T14:58:31.24,500180,89487.99,17616.14,,23.03,22.93,,17616.14,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=77dd1f75-6b85-4aac-8334-7d7c7b7eb410.pdf
Havells India Ltd,2025-04-22T17:01:49.803,517354,6543.56,517.00,,8.26,8.25,,517.00,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=765975b9-57bd-434d-80bc-71800f658452.pdf
Himadri Speciality Chemical Ltd,2025-04-21T17:59:03.85,500184,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cc708846-89dd-412f-b835-077548c3b264.pdf
Hindustan Unilever Ltd,2025-04-24T10:11:36.23,500696,15416,2475,3619,10.48,10.48,23.4,2475,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2b029c02-bd5d-426d-b0db-e8a96305382c.pdf
Hindustan Zinc Ltd,2025-04-25T14:29:13.5,500188,9087,3003,,7.11,7.11,42,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=35f7d328-49a5-40d5-b24d-4f6aac328173.pdf
Home First Finance Company India Ltd,2025-05-01T17:29:02.18,543259,4161.91,1046.92,,11.65,11.45,,1046.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=258975f9-ce84-4cd9-9db9-e3525ef113e2.pdf
ICICI Bank Ltd,2025-04-19T17:47:50.563,532174,49690.87,12629.58,,17.87,17.60,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bebe24ce-4695-4841-bf2b-9322ffb2575e.pdf
ICICI Lombard General Insurance Company Ltd,2025-04-15T19:38:55.283,540716,585117,50959,,10.29,10.20,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9e6120a8-b79e-44b0-835f-45651345f643.pdf
ICICI Prudential Life Insurance Company Ltd,2025-04-15T16:57:19.253,540133,157280000000,3869000000,,2.67,2.66,,3869000000,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=38b05677-0121-4614-83fc-048827132a54.pdf
IDBI Bank Ltd,2025-04-28T14:25:19.44,500116,9089.81,2087.49,,1.94,1.94,,2087.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=41d58399-40eb-466f-8d6f-46e549b9fe32.pdf
IDFC First Bank Ltd,2025-04-26T17:09:39.69,539437,1130842,29560,,0.40,0.40,,29560,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6e7eea47-df20-45b6-992a-9bbd703d37c4.pdf
Indegene Ltd,2025-04-28T19:48:08.56,544172,7556,1176,,4.91,4.88,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5379311-9f67-4b84-99ef-ad7fa6e05c0b.pdf
India Cements Ltd,2025-04-26T15:13:21.797,530005,1197.13,-75.88,,-2.41,-2.41,,-75.88,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=805564f7-54d9-4ebe-a55f-166cc1d37297.pdf
IndiaMART InterMESH Ltd,2025-04-29T19:02:27.193,542726,13883.44,5506.98,5227.92,91.84,91.59,35.28,5506.98,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e7d2bf47-d54c-44bf-91da-604463e04377.pdf
Indian Energy Exchange Ltd,2025-04-24T17:38:40.3,540750,14224.82,11711.27,,1.32,1.32,,11711.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0189059b-bb22-420f-813b-aacc54544fc8.pdf
Indian Oil Corporation Ltd,2025-04-30T14:51:48.703,530965,221360.24,8367.63,,5.90,5.90,4.96,8123.64,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6d6b963-4126-465f-8f77-d6edb564c395.pdf
Indus Towers Ltd,2025-04-30T22:18:45.98,534816,77271,17791,43952,6.75,6.75,56.9,17791,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=25b5cba8-6c7d-46cc-a7bf-84055176c2cc.pdf
Infosys Ltd,2025-04-17T16:32:16.507,500209,162990,26750,,64.50,64.34,21.0,26750,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=469f0509-db62-45b6-b385-edb40019d112.pdf
JSW Infrastructure Ltd,2025-04-30T16:58:19.18,543994,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7fd87036-e68c-4b90-a8ce-d5416196495a.pdf
Jaiprakash Power Ventures Ltd,2025-05-01T18:49:15.827,532627,134091,15549,41397,0.16,0.16,,15549,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=885a9726-ca10-449a-97f9-1b08057d0cfa.pdf
Jindal Steel Ltd,2025-04-30T20:51:39.347,532286,15525,1099,2482,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f518ed64-59b4-4ebc-9727-e5cc2966091c.pdf
Jio Financial Services Ltd,2025-04-17T19:27:22.457,543940,518.36,316.11,,0.50,0.50,,316.11,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04d7097f-2ed1-4bea-b278-6080c54a987a.pdf
Just Dial Ltd,2025-04-18T21:54:33.273,535648,2892.0,1576.0,,18.53,18.53,,1576.0,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=064fdc02-39a4-4263-b37e-fa21d9759714.pdf
KPIT Technologies Ltd,2025-04-28T12:56:28.213,542651,25639.34,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b48d1f88-9139-477d-b3a7-8930424398df.pdf
KFin Technologies Ltd,2025-04-28T20:46:50.403,543720,2826.98,850.53,,4.95,4.91,,850.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e4b7ce2-31e9-4be0-9e94-c1c8705365ef.pdf
L&T Finance Ltd,2025-04-25T19:12:40.803,533519,4022.92,635.84,,2.55,2.54,,635.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53a43adf-5f44-4d00-8c0c-9d11d668e54a.pdf
L&T Technology Services Ltd,2025-04-24T16:57:50.233,540115,29824,3102,,29.38,29.32,,3102,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=66e42188-9095-49b9-a757-4434d50deebe.pdf
LTIMindtree Ltd,2025-04-23T16:37:39.42,540005,97717,11286,15962,38.10,38.04,13.8,11286,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e460ec1e-77d1-464b-b0e9-04aaa44db528.pdf
Laurus Labs Ltd,2025-04-24T15:00:05.423,540222,1720.30,232.77,,4.34,4.33,,232.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=97a69189-942a-4ebb-8209-fdca1f724058.pdf
Lloyds Metals and Energy Ltd,2025-04-25T19:25:48.053,512455,1212.56,201.88,,3.91,3.65,,201.88,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bdbb45f5-0bdc-411e-b20f-8292f2a5d604.pdf
Lodha Developers Ltd,2025-04-24T21:10:08.553,543287,42243,9228,,9.26,9.22,34.57,9228,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=92ca8da5-35c0-46d8-a3c6-06df9261e175.pdf
