company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
360 ONE WAM LTD,2024-07-30T18:12:47.753,542772,697,243,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=62cb9b41-bf55-4880-8089-7e7b28d8a447.pdf
ACC Ltd,2024-07-29T16:59:01.83,500410,5154.89,361.40,,19.24,19.19,,361.40,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=10b88ee4-8397-4aec-aa11-676b70e86517.pdf
AU Small Finance Bank Ltd,2024-07-25T16:03:21.38,540611,431469.95,50257.12,,6.77,6.74,,50257.12,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=68735cf0-62ca-4a9e-af28-9c2c5c8fe563.pdf
AWL Agri Business Ltd,2024-07-29T12:17:53.407,543458,14168.58,313.20,,2.41,2.41,,313.20,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a20290fc-32ee-44d6-b462-38ee7c09d1e5.pdf
AAVAS Financiers Ltd,2024-07-25T15:23:56.5,541988,54238.83,12610.07,,15.93,15.92,,12610.07,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1823623c-a84d-4854-b464-9fd3cd713833.pdf
Action Construction Equipment Ltd,2024-07-31T14:36:17.41,532762,73426,8418,,7.07,7.07,,8418,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fedf465f-139a-464e-90b9-f57603b3f434.pdf
Adani Energy Solutions Ltd,2024-07-25T15:54:11.557,539254,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bd3bca33-9823-4949-9841-6c036e69ff5b.pdf
Adani Green Energy Ltd,2024-07-25T15:13:12.95,541450,2528,629,2374,2.63,2.63,92.6,629,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=662678ba-c5b3-4bd1-8aa2-74e9d8267cbb.pdf
Adani Power Ltd,2024-07-31T15:14:29.12,533096,14955.63,3912.79,6713,9.72,9.72,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa884b17-899f-4764-9e9e-a31dde01c719.pdf
Adani Total Gas Ltd,2024-07-29T13:54:01.35,542066,1239.06,171.84,,1.56,1.56,,171.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2167bb7e-8a4a-4c07-acf6-19cd5059da00.pdf
Aditya Birla Real Estate Ltd,2024-07-16T14:35:49.29,500040,1158.02,17.35,4.65,0.70,0.70,3.11,17.35,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab6b27d9-cf0f-475b-9d24-2ae88744ef28.pdf
Aditya Birla Sun Life AMC Ltd,2024-07-24T19:18:13.603,543374,386.62,235.71,,8.18,8.16,,235.71,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0235c4fd-501a-4b29-bb42-fc278ee25382.pdf
Aegis Logistics Ltd,2024-07-30T17:48:09.787,500003,160134,15806,,3.75,3.75,,15806,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf59125b-dad5-4b63-92f8-97546ed23916.pdf
