company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
360 ONE WAM LTD,2024-01-18T17:43:26.803,542772,647.68,192.11,,5.36,5.21,,192.11,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f41dea31-9016-4a07-83d1-f27964b8d04f.pdf
ACC Ltd,2024-01-25T14:16:00.823,500410,4914.36,537.67,,28.63,28.55,,537.67,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e78ec40-42c4-48a6-96db-39e48e540a03.pdf
APL Apollo Tubes Ltd,2024-01-27T16:24:35.993,533758,4147.76,165.51,,5.97,5.97,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3bf141bd-8d21-4426-80f7-cc9cc383bb9c.pdf
AU Small Finance Bank Ltd,2024-01-25T15:44:03.147,540611,318551.13,37524.79,,5.61,5.58,,37524.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=27d85f6e-c97d-40e7-859b-ad74fbf53151.pdf
AWL Agri Business Ltd,2024-01-31T13:53:39.633,543458,12828.36,200.89,,1.55,1.55,,200.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4c953e61-dad3-484e-9011-749dd82bc1a5.pdf
Adani Energy Solutions Ltd,2024-01-29T14:36:56.77,539254,3615,348,1732,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b7474f9-1dce-4f45-ad16-87c32bdfa8ce.pdf
Adani Green Energy Ltd,2024-01-29T13:21:52.19,541450,1765,256,1638,1.42,1.42,92,256,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a7775e7b-360f-44b0-813d-b3f23ad59aa3.pdf
Adani Power Ltd,2024-01-25T17:02:27.94,533096,13355,2738,5059,6.61,6.61,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=952a4372-2ca9-4177-b9c6-87707a2f7286.pdf
Adani Total Gas Ltd,2024-01-30T14:49:31.757,542066,1243,172,301,1.57,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3ff86f1f-9e10-4d84-b7de-d737246d6122.pdf
Aditya Birla Sun Life AMC Ltd,2024-01-29T18:19:02.23,543374,341.46,209.34,,7.27,7.25,,209.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fb75de7a-da48-4f0f-81db-1e29f9944288.pdf
Ajanta Pharma Ltd,2024-01-31T16:12:24.287,532331,1105.15,210.03,314,16.68,16.67,28,210.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=526e6d11-fa74-448e-9896-ce13cdc34d86.pdf
Alok Industries Ltd,2024-01-17T18:21:52.043,521070,1253.03,-229.92,2.18,-0.46,-0.46,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5d7a05ef-5f4c-4793-ad54-99d47b00e937.pdf
Amara Raja Energy & Mobility Ltd,2024-01-31T18:34:41.997,500008,3043.92,254.75,,14.91,14.91,,254.75,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=30c76096-855e-441f-b12f-526707ff4a83.pdf
Ambuja Cements Ltd,2024-01-31T12:53:23.523,500425,8128.80,1089.55,,4.14,3.86,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1a8f5e09-247a-4903-9c4f-858d75341ad7.pdf
Anand Rathi Wealth Ltd,2024-01-12T18:19:44.637,543415,18243.14,5804.34,,13.91,13.87,,5804.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53a253fc-123b-4572-9543-6d1fdc00c2ec.pdf
Angel One Ltd,2024-01-15T17:52:38.68,543235,10590,2603,,31.02,30.47,36.20,2603,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=208a012a-978f-4c65-a36a-4f69e64d981c.pdf
Apar Industries Ltd,2024-01-30T13:20:34.38,532259,4013,218,432,56.62,56.62,,218,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=49d60224-000f-4fb5-8695-0a6ffb51cd20.pdf
Asahi India Glass Ltd,2024-01-25T14:03:52.437,515030,104358,6264,,2.61,2.61,,6264,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=37a11889-1033-4af5-93af-32567a81d030.pdf
Asian Paints Ltd,2024-01-17T14:50:20.587,500820,9103.09,1475.16,2056.1,15.10,15.10,22.7,1475.16,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=462e0080-7fab-45bf-9759-2dcbbccdd32b.pdf
Astral Ltd,2024-01-30T16:00:39.047,532830,13702,1133,,4.23,4.22,,1133,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26e83dca-913e-465e-8447-afe6200d71ec.pdf
Atul Ltd,2024-01-19T13:08:59.473,500027,1137.80,72.05,,24.04,24.04,,72.05,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fe886aec-5d0c-4d2d-83c1-3a73f54e2a4a.pdf
Authum Investment & Infrastructure Ltd,2024-01-22T18:24:11.82,539177,691.39,601.36,,35.41,35.41,,601.36,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5c1a834c-22ca-44ff-a0e4-b236584e58cc.pdf
Avenue Supermarts Ltd,2024-01-13T16:26:35.98,540376,13572,690.41,,10.62,10.59,,690.41,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3aa0883f-14f5-44f1-a6e3-0cc24c707619.pdf
AXIS Bank Ltd,2024-01-23T16:08:28.317,532215,35136.83,6491.66,,21.06,20.93,,6491.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dd77e058-7b67-4d0c-b30d-d91f934fcaf9.pdf
