company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
360 ONE WAM LTD,2023-07-20T16:54:00.863,542772,566.85,183.58,,5.15,5.05,,183.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40dac8fe-e537-4668-b81f-aab4f046fac9.pdf
ACC Ltd,2023-07-27T15:16:23.073,500410,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=987d0f75-db74-4bf9-8a41-9b69c548efc1.pdf
AU Small Finance Bank Ltd,2023-07-22T15:51:38.653,540611,277345.77,38689.63,,5.80,5.77,,38689.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3aa47b9c-295e-4a3e-a73e-561ce628f15c.pdf
Adani Energy Solutions Ltd,2023-07-31T16:09:36.58,539254,3622,182,1378,1.57,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=75b47718-5de8-419b-9305-46c2f4515214.pdf
Adani Green Energy Ltd,2023-07-31T14:11:42.03,541450,2404,323,1938,1.85,1.85,92.5,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b923ad02-d236-430e-878a-5c5d6345a055.pdf
Aditya Birla Real Estate Ltd,2023-07-19T13:08:47.673,500040,1152.27,23.70,,2.14,2.14,9.37,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=41625f6d-6f43-4241-b31e-d86222750f84.pdf
Aditya Birla Sun Life AMC Ltd,2023-07-26T19:35:54.05,543374,311.16,184.57,,6.41,6.39,,184.57,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=21c508e5-92c7-41b6-aaf4-3e35d767d753.pdf
Aegis Logistics Ltd,2023-07-26T15:48:41.17,500003,210053,13269,,3.30,3.30,,13269,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09af8b8c-b7e8-4bcf-9651-9e5c6b9c0134.pdf
Ajanta Pharma Ltd,2023-07-27T15:59:56.36,532331,1021.04,208.12,271,16.53,16.53,26,208.12,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c944b568-5374-42c4-a4ff-6fbea16322c6.pdf
Alivus Life Sciences Ltd,2023-07-21T12:55:15.4,543322,5784.50,1354.50,,11.05,11.05,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3fefd3e7-5eaa-4dcd-99c9-f5ab661eef6d.pdf
Alok Industries Ltd,2023-07-19T19:26:57.39,521070,1410.25,-226.14,,-0.46,-0.46,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=709dd1d2-5c5f-4262-94a1-93805c1674ed.pdf
Amber Enterprises India Ltd,2023-07-25T16:38:02.537,540902,113278,4564.21,,13.55,13.55,,4564.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc5e025d-f276-41dc-9ec2-b6369c2d7e77.pdf
Anand Rathi Wealth Ltd,2023-07-12T17:46:55.7,543415,17502.59,5323.28,,12.77,12.71,,5323.28,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3beb6e5d-6321-457f-aba9-0ce8034563a5.pdf
Angel One Ltd,2023-07-13T19:21:24.527,543235,8111,2208,,26.38,25.99,36.74,2208,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f89c02f2-60c5-45a6-88b2-318b420e53f5.pdf
Apar Industries Ltd,2023-07-28T12:45:43.303,532259,3773.01,197.43,369,51.59,51.59,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=18aa5c0d-fc05-4625-8c9e-54f2fed91a1c.pdf
Asahi India Glass Ltd,2023-07-31T15:23:27.77,515030,108862,10279,,4.27,4.27,,10279,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=816ea95b-841a-4178-aab3-10d0f2c873ed.pdf
Ashok Leyland Ltd,2023-07-21T11:05:11.52,500477,9691.32,584.49,,1.85,1.65,9.02,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=61af71b7-8dec-4511-86c7-401d9fac1423.pdf
Asian Paints Ltd,2023-07-25T13:27:12.11,500820,9182.31,1574.84,2121.3,16.17,16.17,23.2,1574.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2cbe49dc-5456-4b0a-9b34-5471f98081b0.pdf
Atul Ltd,2023-07-21T13:29:15.363,500027,1182.02,102.05,,35.02,35.02,,102.05,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a1d7f02-cb79-4144-89f4-01b8a187bf69.pdf
Authum Investment & Infrastructure Ltd,2023-07-26T14:58:50.273,539177,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=218b3a22-34a2-4522-bc21-14a0b95ed9ed.pdf
Avenue Supermarts Ltd,2023-07-15T15:10:12.13,540376,11865.44,658.71,,10.14,10.12,,658.71,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73528eef-6595-459e-b99e-ac964f942c45.pdf
AXIS Bank Ltd,2023-07-26T16:06:48.207,532215,31894.20,6091.35,,19.79,19.70,,6091.35,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea3af94f-5ade-44a0-82cd-85e937521d00.pdf
