company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
360 ONE WAM LTD,2024-10-21T18:01:23.48,542772,618,245.49,,6.75,6.47,,245.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=25c2c74f-4ce4-418b-bb83-8ed91947a2d5.pdf
ACC Ltd,2024-10-24T13:27:14.29,500410,4613.52,199.70,,10.55,10.52,,199.70,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a0fe9608-d0ac-4e51-b30d-922645f1e663.pdf
AIA Engineering Ltd,2024-10-30T13:52:16.143,532683,104420.40,25642.63,,27.29,27.29,,25642.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b22e0d72-34df-41e6-b866-dfb0a5aec9a8.pdf
APL Apollo Tubes Ltd,2024-10-29T14:07:01.597,533758,4773.91,53.81,,1.94,1.94,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=21354ad8-3263-4bbd-bd12-e24489577e43.pdf
AU Small Finance Bank Ltd,2024-10-23T15:37:29.493,540611,454857.69,57121.04,,7.68,7.65,,57121.04,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=212383cd-9309-448c-9fea-e13dcbd1a3ff.pdf
AWL Agri Business Ltd,2024-10-24T14:48:26.17,543458,14460.45,311.02,,2.39,2.39,,311.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=577ddba1-c780-421b-af09-603124500ffe.pdf
Adani Enterprises Ltd,2024-10-29T15:01:21.22,512599,22608.07,1989.19,3228.13,14.82,14.82,14.29,1989.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2d752c84-a750-49f7-bb51-461b9da11a11.pdf
Adani Green Energy Ltd,2024-10-22T15:39:05.227,541450,2309,515,2143,1.56,1.54,92.2,515,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5937445-15d0-4b78-ba99-052047169893.pdf
Adani Ports and Special Economic Zone Ltd,2024-10-29T13:02:54.88,532921,7067.02,2412.54,,11.32,11.32,62,2412.54,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eabdc7b6-48fd-4e5f-b04c-758bdca9736f.pdf
Adani Power Ltd,2024-10-28T15:26:41.44,533096,13338.88,3297.52,5999.54,8.21,8.21,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=362896ad-02c6-4156-ba92-764cfa3b4a44.pdf
Adani Total Gas Ltd,2024-10-24T15:00:36.847,542066,1318.37,185.60,,1.69,1.69,,185.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=31b36459-69a1-408f-8f1f-37b75d8a0607.pdf
Aditya Birla Capital Ltd,2024-10-30T14:32:59.173,540691,12007,1001,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=923f6837-c7ea-4a9f-8e9f-f4fc75de530f.pdf
Aditya Birla Real Estate Ltd,2024-10-22T14:00:15.647,500040,1138.08,2.82,,0.23,0.23,1.59,2.82,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb2ab409-dc85-4f82-a589-b7344237c2ae.pdf
Aditya Birla Sun Life AMC Ltd,2024-10-28T18:36:09.907,543374,424.21,242.34,,8.41,8.39,,242.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12006a20-c730-45c9-a57e-af0684045efc.pdf
Aegis Logistics Ltd,2024-10-25T16:47:06.447,500003,175042,,,3.59,3.59,,15202,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f2602e88-6d4c-4565-804a-1727beacd0a6.pdf
Ajanta Pharma Ltd,2024-10-28T15:51:28.09,532331,1186.64,216.48,311,17.27,17.26,26,216.48,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bf9aa7db-5f4d-4190-af0d-0cf157f0d3aa.pdf
Alivus Life Sciences Ltd,2024-10-24T18:27:20.737,543322,5068.79,953.16,,7.78,7.75,,953.16,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ce153b4-0caf-4e40-9583-fd95c6b51220.pdf
Amber Enterprises India Ltd,2024-10-22T15:43:50.54,540902,168470.02,2096.17,13155.46,5.70,5.68,,2096.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1b7ab8b0-4806-4253-b756-f82d386a96d5.pdf
Ambuja Cements Ltd,2024-10-28T12:57:08.117,500425,7516.11,472.89,,1.85,1.85,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3c8c4e63-d721-42fb-b38b-0c812420481c.pdf
Anand Rathi Wealth Ltd,2024-10-10T16:42:15.33,543415,24248.13,7631.10,,18.32,18.32,,7631.10,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7dd67d08-8cbd-4e52-93e7-056fca2ec528.pdf
Anant Raj Ltd-$,2024-10-28T18:30:12.74,515055,512.85,105.65,,3.09,3.09,,105.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ec4205f4-b990-42d8-b3ca-3b594a8b6cf4.pdf
Angel One Ltd,2024-10-14T18:28:38.723,543235,15147.06,4233.68,,46.98,46.15,33.18,4233.68,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ca72931e-22b9-4a47-9ba1-070275efabc0.pdf
Apar Industries Ltd,2024-10-29T13:26:08.853,532259,4645,194,402,48.17,48.17,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b28f10eb-e0bd-48b4-8e1c-0b29d52c5c95.pdf
Asahi India Glass Ltd,2024-10-29T14:17:16.53,515030,115768,9454,,3.93,3.93,,9454,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b3b300a0-3599-4955-a0f6-c04ddb43fabd.pdf
Aster DM Healthcare Ltd,2024-10-23T22:34:40.98,540975,91.78,9.27,,,,,9.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4cd9da83-4c4b-424b-a775-5583639c9598.pdf
Atul Ltd,2024-10-25T13:23:31.793,500027,1392.83,139.53,,46.47,46.47,,139.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1eb0a530-5f4b-4273-a2ba-007a9962c720.pdf
Authum Investment & Infrastructure Ltd,2024-10-21T21:23:46.967,539177,1092.65,842.77,,49.61,49.83,,842.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f89bd6cf-b8f5-450d-bf3b-d8747543add6.pdf
Avenue Supermarts Ltd,2024-10-12T14:07:23.93,540376,14444.50,659.44,,10.14,10.11,,659.44,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f6684cf-7137-4d13-aa6f-8739543f6e78.pdf
AXIS Bank Ltd,2024-10-17T15:46:41.047,532215,39203.77,7401.26,,23.94,23.78,,7401.26,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8587284d-1dfd-4497-8e08-1b9ba0bd4949.pdf
Bajaj Auto Ltd,2024-10-16T16:32:03.4,532977,13247.28,1385.44,2653,49.7,49.7,20.2,1385.44,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6110cc58-527a-43dc-bd0c-999e9d824c40.pdf
Bajaj Finance Ltd,2024-10-22T17:36:41.05,500034,17090.27,4013.74,,64.66,64.50,,4013.74,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f28403e5-223d-4e39-801f-c706fbd5dc2a.pdf
Bajaj Finserv Ltd,2024-10-23T13:37:27.277,532978,33703.74,2086.97,,13.1,13.0,,2086.97,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1b7304c-15a5-414f-a68a-d434c0b20f79.pdf
Bajaj Holdings & Investment Ltd,2024-10-23T16:04:08.46,500490,279.07,1436.36,,129.1,129.1,,1436.36,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9de27687-456c-40fc-9123-c13d8ce7c2d3.pdf
Bajaj Housing Finance Ltd,2024-10-21T17:24:22.04,544252,2410.15,545.60,,0.69,0.69,,545.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b898a172-8201-4ac5-8b4e-8de69383df93.pdf
Bandhan Bank Ltd,2024-10-25T15:40:20.843,541153,609453.03,93744.50,,5.82,5.82,,93744.50,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e98b7bb3-f224-451d-a74b-3e7b8fbd3f28.pdf
Bank of Baroda,2024-10-25T16:16:55.89,532134,3544470,523793,,10.13,10.13,26.74,523793,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46c6de1a-e67c-4182-ba60-fb16091c847d.pdf
Bank of Maharashtra,2024-10-15T13:14:01.32,532525,680918,132677,,1.87,,32.34,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=407bf360-ee36-4b50-bc59-f0adf62d7036.pdf
Bharat Electronics Ltd,2024-10-25T13:35:26.827,500049,460490,109278,,1.50,1.50,,109278,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2c66684c-6ab1-4b53-a142-887e4f092ef0.pdf
Bharat Heavy Electricals Ltd,2024-10-28T14:30:47.61,500103,6584.10,106.15,,0.30,0.30,4.43,106.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d3180099-5e8b-4977-9ee1-1e3a5c0a7aa5.pdf
Bharat Petroleum Corporation Ltd,2024-10-25T15:16:54.283,500547,117948.75,2297.23,,5.38,5.38,2.10,2297.23,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c606317-af8d-4d72-9d0b-619651f693dc.pdf
Bharti Airtel Ltd,2024-10-28T16:18:08.497,532454,414733,35932,220209,6.21,6.00,26.5,35932,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=74381517-f902-40fe-8482-3fa60d9c1fc3.pdf
Bharti Hexacom Ltd,2024-10-28T15:40:53.15,544162,20976,2531,10464,5.06,5.06,22.2,2531,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9e443feb-4a60-40bf-9c5d-c9c696471cab.pdf
Bikaji Foods International Ltd,2024-10-24T17:59:35.487,543653,72117.48,6858.39,,2.76,2.76,,6858.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c13d2771-b19e-42ee-a155-cf784ade4ec3.pdf
Biocon Ltd,2024-10-30T17:40:29.44,532523,35904,271,,-0.13,-0.13,,271,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24b0f96c-aa30-4fb3-bbca-7ffca25131b0.pdf
Birlasoft Ltd,2024-10-23T17:48:13.3,532400,13682.17,1275.06,,4.59,4.52,,1275.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=729d3b17-0022-4e72-bfb8-17eca73a5fbe.pdf
CG Power and Industrial Solutions Ltd,2024-10-21T14:36:53.59,500093,2412.69,219.63,,1.45,1.44,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9c47b7f7-3261-469a-86bf-8c6cd69af941.pdf
CRISIL Ltd,2024-10-16T16:53:25.3,500092,811.84,171.55,,23.46,23.46,,171.55,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=45c910a3-1534-4edf-8c1f-b230fa4c187b.pdf
Can Fin Homes Ltd,2024-10-22T18:40:38.217,511196,96269.48,21148.98,,15.88,15.88,,21148.98,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f5aed8f-6558-4eb6-9e02-8e0c02904065.pdf
