company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
360 ONE WAM LTD,2024-04-23T18:20:25.653,542772,623,242.61,,6.76,6.52,,241.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=322adefa-03a0-4cdf-9feb-a6e28bf33a79.pdf
ACC Ltd,2024-04-25T14:50:37.727,500410,5408.72,944.84,,50.31,50.18,,944.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=920b109d-cff1-459a-9418-e48d1ebc785e.pdf
AU Small Finance Bank Ltd,2024-04-24T16:10:35.87,540611,338511.88,37073.99,,5.54,5.52,,37073.99,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c56aace0-372f-439e-ac54-6fc18a1ce75c.pdf
AWL Agri Business Ltd,2024-05-01T14:46:02.467,543458,13238.04,156.75,,1.21,1.21,,156.75,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ec330ef-74f6-4136-8d76-87957866d53d.pdf
AAVAS Financiers Ltd,2024-04-25T15:35:22.657,541988,54601.99,14261.53,,18.02,18.00,,14261.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bc4bad99-08b1-4147-bcdb-5d457b94b170.pdf
Adani Energy Solutions Ltd,2024-04-30T21:58:09.377,539254,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a013ff69-c31e-4481-b9e0-3f4152ea9f6b.pdf
Adani Power Ltd,2024-05-01T19:09:14.68,533096,13881.52,2737.24,5368,6.63,6.61,,2737.24,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7da2e9ee-01d4-4116-9ad1-db0db929459b.pdf
Adani Total Gas Ltd,2024-04-30T17:54:10.23,542066,1258.37,167.96,,1.53,1.53,,167.96,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d887f22c-10e8-46a0-9dd0-a4e8aba64802.pdf
Aditya Birla Sun Life AMC Ltd,2024-04-26T18:34:51.27,543374,365.57,208.38,,7.23,7.22,,208.38,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=439b52c7-6ce6-417e-909e-0c309948f972.pdf
Alivus Life Sciences Ltd,2024-04-25T14:50:16.783,543322,5365.97,979.37,,7.99,7.97,,979.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4425b5d-9f06-471f-882b-e95c00b92ac0.pdf
